Player		 Dealer	 Stand	 Hit	 Double	 Split	
3 3 		4	-0.2403	-0.0975	 None 	-0.1962	
3 3 		5	-0.1803	-0.0657	 None 	-0.0549	
3 3 		6	-0.1425	-0.0114	 None 	0.0111	
3 3 		7	-0.5146	-0.1821	 None 	-0.1377	
3 3 		8	-0.4899	-0.2172	 None 	-0.2493	
3 3 		9	-0.5290	-0.3219	 None 	-0.4437	
3 3 		10	-0.5692	-0.3738	 None 	-0.6529	
3 3 		A	-0.7732	-0.5410	 None 	-0.9445	
3 4 		2	-0.2901	-0.1194	 None 	 None 	
3 4 		3	-0.2763	-0.1056	 None 	 None 	
3 4 		4	-0.1953	-0.0306	 None 	 None 	
3 4 		5	-0.1617	0.0003	 None 	 None 	
3 4 		6	-0.1605	0.0114	 None 	 None 	
3 4 		7	-0.4563	-0.0672	 None 	 None 	
3 4 		8	-0.5110	-0.2163	 None 	 None 	
3 4 		9	-0.5356	-0.2883	 None 	 None 	
3 4 		10	-0.5710	-0.3585	 None 	 None 	
3 4 		A	-0.7744	-0.4956	 None 	 None 	
3 5 		2	-0.3081	-0.0423	 None 	 None 	
3 5 		3	-0.2433	0.0159	 None 	 None 	
3 5 		4	-0.2175	0.0237	 None 	 None 	
3 5 		5	-0.1773	0.0615	 None 	 None 	
3 5 		6	-0.1653	0.1050	 None 	 None 	
3 5 		7	-0.4803	0.0732	 None 	 None 	
3 5 		8	-0.5146	-0.0549	 None 	 None 	
3 5 		9	-0.5302	-0.2112	 None 	 None 	
3 5 		10	-0.5650	-0.3249	 None 	 None 	
3 5 		A	-0.7744	-0.4482	 None 	 None 	
3 6 		2	-0.2883	0.0594	0.0414	 None 	
3 6 		3	-0.2871	0.0930	0.0876	 None 	
3 6 		4	-0.2409	0.1173	0.1338	 None 	
3 6 		5	-0.1569	0.1659	0.2874	 None 	
3 6 		6	-0.1863	0.1845	0.3030	 None 	
3 6 		7	-0.4887	0.1572	0.1182	 None 	
3 6 		8	-0.5194	0.1116	-0.0270	 None 	
3 6 		9	-0.5524	-0.0648	-0.3834	 None 	
3 6 		10	-0.5770	-0.2337	-0.5959	 None 	
3 6 		A	-0.7774	-0.3321	-0.9253	 None 	
