Player		 Dealer	 Stand	 Hit	 Double	 Split	
3 10 		8	997	997	None	None	
3 10 		9	997	997	None	None	
3 10 		10	999	999	None	None	
3 10 		A	997	997	None	None	
3 A 		2	997	999	None	None	
3 A 		3	1001	1003	None	None	
3 A 		4	999	999	None	None	
3 A 		5	1001	1001	None	None	
3 A 		6	997	997	None	None	
3 A 		7	999	1001	None	None	
3 A 		8	999	1001	None	None	
3 A 		9	999	1003	None	None	
3 A 		10	997	997	None	None	
3 A 		A	997	997	None	None	
4 2 		2	1003	1003	None	None	
4 2 		3	999	999	None	None	
4 2 		4	1001	1001	None	None	
4 2 		5	1001	1001	None	None	
4 2 		6	997	997	None	None	
4 2 		7	999	1003	None	None	
4 2 		8	999	997	None	None	
4 2 		9	999	999	None	None	
4 2 		10	999	999	None	None	
4 2 		A	997	999	None	None	
4 3 		2	999	1000	None	None	
4 3 		3	997	997	None	None	
4 3 		4	1003	1003	None	None	
4 3 		5	999	1001	None	None	
4 3 		6	1001	1003	None	None	
4 3 		7	997	997	None	None	
4 3 		8	999	1001	None	None	
4 3 		9	999	998	None	None	
4 3 		10	999	1000	None	None	
4 3 		A	999	1000	None	None	
4 4 		2	997	999	None	997	
4 4 		3	999	999	None	998	
4 4 		4	997	1000	None	994	
4 4 		5	1001	1001	None	1002	
4 4 		6	997	998	None	997	
4 4 		7	999	997	None	1000	
4 4 		8	1001	1002	None	998	
4 4 		9	997	999	None	998	
4 4 		10	999	1001	None	1000	
4 4 		A	997	998	None	998	
4 5 		2	999	999	1000	None	
4 5 		3	997	999	998	None	
4 5 		4	999	999	998	None	
4 5 		5	999	1001	1000	None	
4 5 		6	1001	1002	1002	None	
4 5 		7	997	1002	1004	None	
4 5 		8	997	1002	1002	None	
4 5 		9	999	1002	1004	None	
4 5 		10	997	1001	994	None	
4 5 		A	997	1001	994	None	
4 6 		2	1001	1001	1002	None	
4 6 		3	999	1001	1000	None	
4 6 		4	1001	1001	1002	None	
4 6 		5	999	1001	998	None	
4 6 		6	1001	1003	1002	None	
4 6 		7	999	1003	998	None	
4 6 		8	997	999	994	None	
4 6 		9	999	1001	1000	None	
4 6 		10	999	1001	998	None	
4 6 		A	997	999	1002	None	
4 7 		2	1001	1003	1002	None	
4 7 		3	997	1001	994	None	
4 7 		4	999	1001	1006	None	
4 7 		5	1001	1003	1006	None	
4 7 		6	999	1002	1002	None	
4 7 		7	997	1001	996	None	
4 7 		8	999	1001	1002	None	
4 7 		9	999	1001	1002	None	
4 7 		10	997	999	1002	None	
4 7 		A	1001	1002	1002	None	
4 8 		2	997	1000	None	None	
4 8 		3	1001	1001	None	None	
4 8 		4	999	997	None	None	
4 8 		5	997	999	None	None	
4 8 		6	997	997	None	None	
4 8 		7	997	1001	None	None	
4 8 		8	999	999	None	None	
4 8 		9	999	1001	None	None	
4 8 		10	997	1001	None	None	
4 8 		A	997	997	None	None	
4 9 		2	1001	1001	None	None	
4 9 		3	1001	1001	None	None	
4 9 		4	1003	1003	None	None	
4 9 		5	999	999	None	None	
4 9 		6	999	999	None	None	
4 9 		7	999	997	None	None	
4 9 		8	999	997	None	None	
4 9 		9	997	999	None	None	
4 9 		10	997	997	None	None	
4 9 		A	997	998	None	None	
4 10 		2	999	999	None	None	
4 10 		3	999	997	None	None	
4 10 		4	999	999	None	None	
4 10 		5	999	1001	None	None	
4 10 		6	999	997	None	None	
4 10 		7	999	1001	None	None	
4 10 		8	997	1000	None	None	
4 10 		9	997	997	None	None	
4 10 		10	997	997	None	None	
4 10 		A	999	997	None	None	
4 A 		2	1001	1001	None	None	
4 A 		3	999	1001	None	None	
4 A 		4	999	999	None	None	
4 A 		5	1003	1003	None	None	
4 A 		6	1001	1001	None	None	
4 A 		7	997	1001	None	None	
4 A 		8	997	1001	None	None	
4 A 		9	999	998	None	None	
4 A 		10	997	999	None	None	
4 A 		A	997	997	None	None	
5 2 		2	999	999	None	None	
5 2 		3	999	999	None	None	
5 2 		4	1001	1001	None	None	
5 2 		5	1001	1001	None	None	
5 2 		6	997	999	None	None	
5 2 		7	997	1000	None	None	
5 2 		8	997	1002	None	None	
5 2 		9	997	997	None	None	
5 2 		10	997	998	None	None	
5 2 		A	997	1001	None	None	
5 3 		2	1001	1001	None	None	
5 3 		3	999	999	None	None	
5 3 		4	999	1001	None	None	
5 3 		5	999	1001	None	None	
5 3 		6	997	999	None	None	
5 3 		7	999	1001	None	None	
5 3 		8	999	999	None	None	
5 3 		9	999	1001	None	None	
5 3 		10	999	999	None	None	
5 3 		A	997	997	None	None	
5 4 		2	999	1000	998	None	
5 4 		3	997	997	1002	None	
5 4 		4	1001	1003	1002	None	
5 4 		5	997	999	994	None	
5 4 		6	997	997	994	None	
5 4 		7	1001	1001	1002	None	
5 4 		8	997	997	998	None	
5 4 		9	999	1002	1000	None	
5 4 		10	997	999	994	None	
5 4 		A	997	999	998	None	
5 5 		2	999	1001	1000	998	
5 5 		3	999	1003	1002	998	
5 5 		4	1001	1003	1006	1002	
5 5 		5	999	1001	1002	1000	
5 5 		6	999	1002	1006	998	
5 5 		7	1001	1002	1002	1004	
5 5 		8	999	1001	998	1000	
5 5 		9	997	1001	1002	997	
5 5 		10	997	999	998	995	
