Player		 Dealer	 Stand	 Hit	 Double	 Split	
[10, 4] 		3	776.0	600.0	None	None	
['A', 4] 		3	816.0	973.0	None	None	
[2, 5] 		3	794.0	864.0	None	None	
[3, 5] 		3	902.0	1050.0	None	None	
[4, 5] 		3	956.0	1169.0	1358.0	None	
[5, 5] 		3	832.0	1307.0	1554.0	664.0	
[6, 5] 		3	1006.0	1484.0	1970.0	None	
[7, 5] 		3	920.0	741.0	None	None	
[8, 5] 		3	968.0	635.0	None	None	
[9, 5] 		3	790.0	603.0	None	None	
[10, 5] 		3	726.0	523.0	None	None	
['A', 5] 		3	874.0	992.0	None	None	
[2, 6] 		3	774.0	1022.0	None	None	
[3, 6] 		3	784.0	1136.0	1200.0	None	
[4, 6] 		3	940.0	1356.0	1700.0	None	
[5, 6] 		3	1022.0	1538.0	2058.0	None	
[6, 6] 		3	850.0	809.0	None	724.0	
[7, 6] 		3	942.0	611.0	None	None	
[8, 6] 		3	896.0	651.0	None	None	
[9, 6] 		3	728.0	442.0	None	None	
[10, 6] 		3	776.0	572.0	None	None	
['A', 6] 		3	955.0	1037.0	None	None	
[2, 7] 		3	820.0	1223.0	1386.0	None	
[3, 7] 		3	868.0	1356.0	1788.0	None	
[4, 7] 		3	946.0	1432.0	1868.0	None	
[5, 7] 		3	932.0	784.0	None	None	
[6, 7] 		3	886.0	572.0	None	None	
[7, 7] 		3	788.0	556.0	None	758.0	
[8, 7] 		3	912.0	741.0	None	None	
[9, 7] 		3	754.0	584.0	None	None	
[10, 7] 		3	864.0	526.0	None	None	
['A', 7] 		3	1284.0	1135.0	None	None	
[2, 8] 		3	838.0	1363.0	1846.0	None	
[3, 8] 		3	766.0	1283.0	1590.0	None	
[4, 8] 		3	930.0	764.0	None	None	
[5, 8] 		3	906.0	626.0	None	None	
[6, 8] 		3	914.0	666.0	None	None	
[7, 8] 		3	910.0	729.0	None	None	
[8, 8] 		3	818.0	561.0	None	1074.0	
[9, 8] 		3	841.0	432.0	None	None	
[10, 8] 		3	1169.0	334.0	None	None	
['A', 8] 		3	1482.0	1257.0	None	None	
[2, 9] 		3	652.0	1217.0	1468.0	None	
[3, 9] 		3	666.0	622.0	None	None	
[4, 9] 		3	786.0	748.0	None	None	
[5, 9] 		3	724.0	537.0	None	None	
[6, 9] 		3	784.0	500.0	None	None	
[7, 9] 		3	718.0	554.0	None	None	
[8, 9] 		3	894.0	430.0	None	None	
[9, 9] 		3	1098.0	270.0	None	1023.0	
[10, 9] 		3	1325.0	335.0	None	None	
['A', 9] 		3	1630.0	1117.0	None	None	
[2, 10] 		3	608.0	816.0	None	None	
[3, 10] 		3	672.0	765.0	None	None	
[4, 10] 		3	766.0	632.0	None	None	
[5, 10] 		3	756.0	513.0	None	None	
[6, 10] 		3	792.0	587.0	None	None	
[7, 10] 		3	903.0	476.0	None	None	
[8, 10] 		3	1163.0	363.0	None	None	
[9, 10] 		3	1294.0	354.0	None	None	
[10, 10] 		3	1594.0	170.0	None	1323.0	
['A', 10] 		3	2500.0	1286.0	None	None	
[2, 'A'] 		3	782.0	1063.0	None	None	
[3, 'A'] 		3	742.0	999.0	None	None	
[4, 'A'] 		3	822.0	1012.0	None	None	
[5, 'A'] 		3	824.0	938.0	None	None	
[6, 'A'] 		3	991.0	1071.0	None	None	
[7, 'A'] 		3	1266.0	1106.0	None	None	
[8, 'A'] 		3	1498.0	1265.0	None	None	
[9, 'A'] 		3	1655.0	1126.0	None	None	
[10, 'A'] 		3	2500.0	1256.0	None	None	
['A', 'A'] 		3	794.0	1056.0	None	2145.0	
[2, 2] 		4	850.0	850.0	None	700.0	
[3, 2] 		4	920.0	920.0	None	None	
[4, 2] 		4	932.0	938.0	None	None	
[5, 2] 		4	994.0	1058.0	None	None	
[6, 2] 		4	950.0	1137.0	None	None	
[7, 2] 		4	928.0	1277.0	1590.0	None	
[8, 2] 		4	778.0	1261.0	1548.0	None	
[9, 2] 		4	766.0	1305.0	1638.0	None	
[10, 2] 		4	784.0	818.0	None	None	
['A', 2] 		4	856.0	1119.0	None	None	
[2, 3] 		4	878.0	878.0	None	None	
[3, 3] 		4	944.0	951.0	None	888.0	
[4, 3] 		4	964.0	1009.0	None	None	
[5, 3] 		4	1124.0	1232.0	None	None	
[6, 3] 		4	1064.0	1303.0	1564.0	None	
[7, 3] 		4	1042.0	1421.0	1834.0	None	
[8, 3] 		4	912.0	1373.0	1700.0	None	
[9, 3] 		4	906.0	683.0	None	None	
[10, 3] 		4	816.0	759.0	None	None	
['A', 3] 		4	1000.0	1204.0	None	None	
[2, 4] 		4	860.0	870.0	None	None	
[3, 4] 		4	972.0	1011.0	None	None	
[4, 4] 		4	862.0	1030.0	None	724.0	
[5, 4] 		4	972.0	1238.0	1462.0	None	
[6, 4] 		4	1016.0	1413.0	1924.0	None	
[7, 4] 		4	950.0	1454.0	1882.0	None	
[8, 4] 		4	904.0	737.0	None	None	
[9, 4] 		4	832.0	768.0	None	None	
[10, 4] 		4	746.0	705.0	None	None	
['A', 4] 		4	882.0	1092.0	None	None	
[2, 5] 		4	928.0	1008.0	None	None	
[3, 5] 		4	1070.0	1195.0	None	None	
[4, 5] 		4	1018.0	1307.0	1588.0	None	
[5, 5] 		4	1002.0	1340.0	1746.0	1004.0	
[6, 5] 		4	1102.0	1567.0	2132.0	None	
[7, 5] 		4	1068.0	843.0	None	None	
[8, 5] 		4	962.0	662.0	None	None	
[9, 5] 		4	910.0	647.0	None	None	
[10, 5] 		4	892.0	554.0	None	None	
