Player		 Dealer	 Stand	 Hit	 Double	 Split	
3 A 		2	976	999	None	None	
3 A 		3	960	981	None	None	
3 A 		4	984	1014	None	None	
3 A 		5	996	1020	None	None	
3 A 		6	986	1023	None	None	
3 A 		7	946	1007	None	None	
3 A 		8	952	1001	None	None	
3 A 		9	946	1004	None	None	
3 A 		10	946	976	None	None	
3 A 		A	934	958	None	None	
4 2 		2	962	985	None	None	
4 2 		3	986	1000	None	None	
4 2 		4	990	995	None	None	
4 2 		5	972	985	None	None	
4 2 		6	1002	1017	None	None	
4 2 		7	940	961	None	None	
4 2 		8	956	988	None	None	
4 2 		9	946	962	None	None	
4 2 		10	944	967	None	None	
4 2 		A	922	951	None	None	
4 3 		2	986	1004	None	None	
4 3 		3	978	991	None	None	
4 3 		4	990	1016	None	None	
4 3 		5	978	992	None	None	
4 3 		6	992	1013	None	None	
4 3 		7	962	1000	None	None	
4 3 		8	942	978	None	None	
4 3 		9	944	976	None	None	
4 3 		10	926	945	None	None	
4 3 		A	928	948	None	None	
4 4 		2	982	998	None	993	
4 4 		3	974	995	None	971	
4 4 		4	974	1001	None	977	
4 4 		5	982	1014	None	996	
4 4 		6	984	1012	None	995	
4 4 		7	946	1004	None	960	
4 4 		8	946	978	None	973	
4 4 		9	950	980	None	956	
4 4 		10	958	984	None	940	
4 4 		A	930	952	None	902	
4 5 		2	972	1007	1024	None	
4 5 		3	978	1009	1010	None	
4 5 		4	988	1021	1050	None	
4 5 		5	972	1007	996	None	
4 5 		6	994	1035	1054	None	
4 5 		7	956	1015	1026	None	
4 5 		8	948	1020	1002	None	
4 5 		9	932	989	940	None	
4 5 		10	936	973	920	None	
4 5 		A	936	996	958	None	
4 6 		2	952	1001	984	None	
4 6 		3	984	1009	1024	None	
4 6 		4	992	1031	1084	None	
4 6 		5	984	1026	1054	None	
4 6 		6	982	1025	1052	None	
4 6 		7	932	1023	1040	None	
4 6 		8	952	1017	1018	None	
4 6 		9	942	998	1008	None	
4 6 		10	952	994	1000	None	
4 6 		A	922	975	944	None	
4 7 		2	990	1036	1062	None	
4 7 		3	964	1025	1046	None	
4 7 		4	982	1031	1058	None	
4 7 		5	978	1041	1082	None	
4 7 		6	994	1034	1072	None	
4 7 		7	968	1040	1066	None	
4 7 		8	958	1020	1052	None	
4 7 		9	942	997	996	None	
4 7 		10	932	994	982	None	
4 7 		A	920	977	926	None	
4 8 		2	986	985	None	None	
4 8 		3	966	983	None	None	
4 8 		4	982	982	None	None	
4 8 		5	980	977	None	None	
4 8 		6	988	990	None	None	
4 8 		7	956	975	None	None	
4 8 		8	944	974	None	None	
4 8 		9	942	970	None	None	
4 8 		10	946	964	None	None	
4 8 		A	918	936	None	None	
4 9 		2	978	981	None	None	
4 9 		3	980	980	None	None	
4 9 		4	966	967	None	None	
4 9 		5	986	973	None	None	
4 9 		6	984	993	None	None	
4 9 		7	956	971	None	None	
4 9 		8	964	970	None	None	
4 9 		9	944	955	None	None	
4 9 		10	948	950	None	None	
4 9 		A	910	943	None	None	
4 10 		2	978	969	None	None	
4 10 		3	970	965	None	None	
4 10 		4	976	973	None	None	
4 10 		5	972	974	None	None	
4 10 		6	974	969	None	None	
4 10 		7	958	967	None	None	
4 10 		8	950	958	None	None	
4 10 		9	942	946	None	None	
4 10 		10	948	957	None	None	
4 10 		A	912	941	None	None	
4 A 		2	966	990	None	None	
4 A 		3	960	999	None	None	
4 A 		4	978	1000	None	None	
4 A 		5	974	1004	None	None	
4 A 		6	990	1006	None	None	
4 A 		7	948	983	None	None	
4 A 		8	942	999	None	None	
4 A 		9	938	965	None	None	
4 A 		10	948	986	None	None	
4 A 		A	908	956	None	None	
5 2 		2	958	966	None	None	
5 2 		3	992	1000	None	None	
5 2 		4	980	991	None	None	
5 2 		5	976	991	None	None	
5 2 		6	984	1004	None	None	
5 2 		7	960	991	None	None	
5 2 		8	944	971	None	None	
5 2 		9	946	968	None	None	
5 2 		10	934	956	None	None	
5 2 		A	924	941	None	None	
5 3 		2	974	1001	None	None	
5 3 		3	986	1009	None	None	
5 3 		4	988	1014	None	None	
5 3 		5	990	1018	None	None	
5 3 		6	992	1022	None	None	
5 3 		7	944	1010	None	None	
5 3 		8	948	989	None	None	
5 3 		9	942	968	None	None	
5 3 		10	946	970	None	None	
5 3 		A	916	965	None	None	
5 4 		2	956	997	974	None	
5 4 		3	992	1022	1056	None	
5 4 		4	996	1020	1056	None	
5 4 		5	982	1021	1034	None	
5 4 		6	970	1017	1010	None	
5 4 		7	948	1019	1004	None	
5 4 		8	940	1007	1004	None	
5 4 		9	950	994	982	None	
5 4 		10	952	981	978	None	
5 4 		A	926	974	918	None	
5 5 		2	972	1028	1016	978	
5 5 		3	980	1013	1048	987	
5 5 		4	962	1021	1032	954	
5 5 		5	1006	1049	1068	1028	
5 5 		6	980	1030	1048	986	
5 5 		7	952	1028	1032	974	
5 5 		8	942	1013	1014	928	
5 5 		9	938	1012	998	930	
5 5 		10	942	991	984	895	
5 5 		A	932	960	952	908	
5 6 		2	980	1029	1058	None	
5 6 		3	988	1028	1072	None	
5 6 		4	1002	1038	1088	None	
5 6 		5	1002	1052	1072	None	
5 6 		6	980	1037	1074	None	
